20,26,0.89259
17,53,0.49605
27,15,0.8283
14,78,0.5824
18,117,0.51237
23,73,0.62455
22,45,0.62476
21,62,0.65992
24,22,0.78954
23,39,0.61513
17,64,0.46262
21,28,0.66535
22,70,0.52549
24,34,0.72924
25,19,0.76402
19,76,0.46914
23,33,0.64797
25,27,0.73015
17,67,0.58257
21,50,0.62658
17,38,0.61779
23,85,0.55787
9,280,0.2961
22,88,0.6943
20,80,0.49293
18,96,0.5255
20,33,0.66687
20,58,0.56322
18,87,0.49734
24,53,0.72006
9,178,0.3126
19,84,0.51717
16,69,0.42734
23,41,0.63278
22,49,0.66533
22,51,0.54306
19,48,0.5614
19,74,0.54003
26,24,0.84866
21,71,0.69712
21,39,0.84803
21,58,0.6018
18,33,0.58483
21,38,0.67056
15,116,0.65264
18,66,0.53668
23,72,0.61904
18,76,0.52226
14,70,0.38934
26,22,0.98911
20,56,0.68024
19,98,0.54031
14,96,0.44547
26,36,0.65962
17,80,0.46504
17,82,0.47667
23,86,0.59628
15,128,0.43933
19,82,0.54875
13,96,0.39964
28,26,1.0996
19,28,0.57748
19,91,0.44361
25,23,0.79413
20,55,0.57803
20,25,0.69682
13,124,0.42972
33,21,0.86138
14,133,0.40209
24,53,0.71655
21,36,0.69182
25,45,0.67097
23,40,0.63267
17,78,0.53334
14,136,0.39295
28,18,0.98818
18,78,0.55744
26,44,0.72619
22,85,0.6119
19,62,0.50346
18,56,0.77561
13,72,0.45574
14,144,0.47385
13,89,0.42416
16,126,0.46098
13,117,0.39688
8,152,0.33287
14,77,0.50672
20,25,0.69835
15,92,0.45746
16,73,0.49446
14,94,0.40259
14,114,0.40598
13,117,0.38029
11,148,0.37667
16,60,0.50038
18,17,0.7133
16,33,0.71207
20,18,0.73313
18,17,0.59167
13,144,0.45615
15,40,0.54641
19,58,0.53803
20,69,0.6208
15,41,0.51896
18,55,0.56443
13,87,0.39438
14,72,0.46535
17,46,0.53577
14,67,0.46013
8,180,0.32607
17,86,0.4748
15,39,0.53778
12,138,0.401
15,96,0.58349
20,26,0.73364
10,96,0.363
15,68,0.59507
16,84,0.51147
10,168,0.35259
16,166,0.61422
22,49,0.60276
20,73,0.55568
29,40,0.80332
30,24,0.85006
30,28,0.88061
17,23,0.65916
24,25,0.75224
31,41,0.74646
28,17,0.90491
19,94,0.47886
15,102,0.43497
22,84,0.5598
23,11,0.83717
26,56,0.71518
28,23,0.71839
24,44,0.66903
23,54,0.56989
29,29,0.78268
33,22,0.90148
31,32,0.86248
41,24,1.2752
34,20,1.051
34,11,1.1741
29,21,0.90992
31,26,0.83808
32,27,1.0804
35,39,0.98774
49,3,1.6148
38,11,1.0684
39,8,1.2407
29,16,0.92088
30,39,0.84145
37,14,1.1091
34,39,1.0057
38,11,1.054
36,31,1.0011
26,28,1.1914
31,12,1.0833
47,10,1.6326
32,19,1.0422
37,19,1.113
44,12,1.5016
37,34,1.0768
29,19,0.73247
36,31,1.1387
30,30,0.6771
45,6,1.5159
31,26,1.0425
33,27,1.0239
25,25,0.91531
32,19,1.0448
31,19,0.93403
32,42,0.85658
42,6,1.2161
33,13,1.0073
42,11,1.5661
23,19,0.76409
31,48,1.0811
36,24,1.1755
42,16,1.3865
38,26,1.2045
40,11,1.6046
53,6,1.6243
53,18,1.4117
53,11,1.5223
52,5,2.0602
50,17,1.2728
48,6,1.3894
46,10,1.2172
56,17,1.7737
49,7,1.4086
58,8,1.8366
50,9,1.2749
45,7,1.2525
49,4,1.9927
51,10,1.8693
49,19,1.487
59,7,1.5984
39,10,1.12
46,11,1.8481
54,13,1.4726
47,8,1.3535
43,7,1.6416
41,8,1.4893
42,8,1.1072
47,8,1.4173
51,11,3.7005
55,17,1.5863
47,17,1.6908
55,16,2.1435
44,15,1.4076
40,24,1.458
57,8,2.3406
43,20,1.0983
51,20,1.616
48,12,1.2155
54,14,1.8646
44,9,1.3189
43,5,1.3916
48,4,1.2078
46,6,1.3496
32,16,1.1106
38,7,1.5098
34,27,1.2406
47,9,1.4679
43,12,1.5734
52,13,1.3815
40,21,1.682
39,15,1.381
37,11,1.1223
44,14,1.4525
48,16,1.696
40,15,1.0978
46,20,1.1246
57,11,1.3659
51,6,1.5421
44,10,1.1744
54,7,1.2865
43,7,1.1571
44,6,1.6365
42,5,1.7359
33,27,0.79194
37,32,0.99193
64,10,1.9966
63,10,1.6845
56,8,2.6479
59,8,2.0981
63,12,1.9047
71,7,2.9327
63,8,2.027
60,10,1.5548
57,18,1.5505
71,11,2.2991
59,6,1.7063
64,6,1.7256
63,15,1.807
67,10,2.2645
59,9,1.5709
62,7,1.5296
59,6,2.7814
57,10,1.9009
58,2,1.6283
69,9,3.1196
46,14,2.6093
67,9,4.1066
60,11,1.9156
56,16,2.3053
57,9,2.2474
59,15,1.4036
47,12,1.344
58,18,2.5399
53,15,1.566
59,13,1.6845
63,7,1.9669
54,12,2.094
70,12,2.1818
59,10,2.0369
75,14,5.8442
66,8,2.1372
64,8,1.9193
62,7,1.8591
66,6,2.6713
63,6,2.0308
72,14,2.7016
74,7,3.0487
64,3,2.7549
63,7,1.772
68,7,2.0229
65,6,2.2798
67,12,2.2684
62,11,1.7746
63,7,2.2376
75,7,2.0922
63,7,3.9618
66,8,2.1148
70,5,1.7077
76,12,2.2365
64,13,2.4737
65,3,1.8525
72,9,1.9286
70,9,3.1089
76,8,2.67
75,11,2.6622
71,4,3.1827
79,5,2.6845
76,15,1.9304
68,6,1.84
68,4,1.5083
75,5,2.1225
77,4,4.9934
65,9,3.8864
67,13,2.2117
64,16,2.3344
56,11,2.5331
62,17,1.8295
72,2,2.0634
70,4,2.0654
67,2,2.4802
68,8,2.4697
70,10,2.4632
69,8,2.4192
75,4,3.1071
67,8,2.3037
55,11,1.9408
67,7,2.055
64,6,1.6425
74,6,2.221
73,18,2.2404
71,9,1.8385
77,9,2.0554
61,10,1.5484
68,2,1.5475
28,29,0.93994
33,35,0.96312
39,24,1.1563
23,29,0.94576
44,13,1.5701
30,46,0.74495
28,63,0.65346
30,28,0.8527
23,6,0.8981
29,46,0.69039
28,46,0.88556
28,41,0.89135
31,47,0.83211
36,22,1.2603
38,11,1.245
23,58,0.63472
26,38,0.71909
27,32,0.69798
26,36,0.68409
27,6,0.88533
31,25,0.75277
34,47,0.8373
38,9,1.0464
29,35,0.79044
21,36,0.69007
33,46,1.0689
30,42,0.7599
33,26,0.82941
37,12,0.93091
37,16,1.1652
14,52,0.68366
19,64,0.65026
15,52,0.48841
14,92,0.59013
7,384,0.25032
15,49,0.60972
19,42,0.5669
10,168,0.321
13,69,0.5014
14,154,0.39499
19,46,0.79662
10,114,0.352
17,66,0.59674
15,86,0.51472
13,122,0.42748
9,306,0.27103
17,52,0.5652
15,92,0.44144
17,82,0.46283
13,100,0.40918
13,104,0.43618
13,78,0.4267
14,63,0.47058
10,160,0.33589
16,80,0.48294
18,22,0.6011
14,149,0.45296
18,66,0.56112
12,134,0.44
14,70,0.57942
4,432,0.21469
20,46,0.81978
16,87,0.47155
14,76,0.44508
15,66,0.48679
14,104,0.43498
21,50,0.56021
21,30,0.64619
21,85,0.55507
16,73,0.49659
40,15,1.2609
30,28,0.82221
38,20,1.3173
37,25,0.98935
35,13,1.0204
40,21,1.1652
30,9,0.97981
36,33,0.88703
33,16,1.0891
31,25,1.0622
24,38,0.71016
35,32,0.80601
36,33,0.80295
37,5,1.0303
31,28,0.94994
37,18,0.87566
25,40,0.69125
53,16,1.7599
57,12,2.7952
59,10,2.5946
54,8,2.0073
56,7,1.51
61,13,2.0688
59,5,1.7792
67,7,4.4277
58,12,3.5723
55,11,3.0621
63,15,3.6783
61,6,2.2341
40,15,2.1363
59,8,2.2399
62,11,2.5069
65,13,3.326
59,16,4.2646
50,13,2.3011
57,10,3.063
47,6,2.1223
48,9,2.0938
61,2,2.109
57,12,2.5236
55,21,2.8969
48,12,2.2618
56,9,2.4493
55,11,2.4434
57,9,4.2854
52,6,1.8684
49,7,2.0486
60,7,2.9811
65,17,3.8165
52,14,1.9781
54,8,2.2772
58,16,2.7904
61,14,2.4724
50,14,2.6002
57,8,4.3189
72,9,3.3665
61,6,3.402
72,11,3.1039
66,10,2.7816
71,11,3.4388
68,9,3.5461
69,8,4.183
67,7,4.1864
58,8,2.857
63,7,2.7525
63,7,3.0679
69,13,3.8325
60,10,2.5608
63,4,2.6769
56,12,2.3128
60,8,5.1536
67,4,3.5043
65,13,2.9853
64,7,2.9025
63,7,3.0713
66,6,3.2214
71,6,4.4427
63,5,2.4518
76,8,2.5387
76,10,1.8468
76,5,2.3123
77,4,2.2305
74,9,1.9796
65,13,1.8804
77,7,2.4369
82,5,2.4929
71,11,1.7586
70,11,4.314
66,5,1.8471
69,15,1.864
69,7,2.9124
69,6,2.1727
77,6,2.3045
69,7,1.9952
58,11,1.9507
69,7,2.5228
75,7,2.8183
